,song_state,song_artist,song_name,uris,duration_ms,popularity,date
173,New York,Clark Terry,Autumn in New York,spotify:track:0F5YlIv9sMDicTQIPfAm4g,257054,0,2013-07-10
174,New York,Mel Tormé,Autumn in New York,spotify:track:0kEs1LwhLvWE23druYDeDg,202893,6,2020-01-17
175,New York,Kylie Minogue,New York City,spotify:track:7lGGyEGA1s8ij9aQ262OFm,200733,41,2019-06-28
176,New York,Simon & Garfunkel,A Heart in New York,spotify:track:6IyU2LIPfopCfbWewM2UdO,181226,47,1982-02-16
177,New York,Ryan Adams,Welcome To New York,spotify:track:11W48AnQ2tSBp7d8x55JW4,198520,34,2015-09-21
178,New York,The Queers,Nuni in New York,spotify:track:0hgwPCcRHlAkFD3LaitVO9,53960,3,1996
179,New York,Jay-Z,Welcome to New York City,spotify:track:6GJe7xXJVxmPZpMBVb7kOc,309600,44,2002-01-01
180,New York,Beastie Boys,An Open Letter to NYC,spotify:track:5vwudDPhjnuA1KrNsFjAHK,258626,46,2004-01-01
181,New York,Back Street Crawler,"New York, New York",spotify:track:4ceWPG9mDztQgIRBWlAICj,280066,0,2018-06-01
182,New York,Shirley Bassey,New York State of Mind,error,error,error,error
183,New York,Matt Monro,New York New York,spotify:track:3ulEYQN4DuHxPfbZdQd2nY,150480,34,2020-03-13
184,New York,Snoop Dogg,Slum Villain,error,error,error,error
185,New York,黄小琥,New York  New York,spotify:track:14ncdITwd0sfn5Va1qGPWN,358888,2,2008
186,New York,Mary J. Blige,Christmas in the City,spotify:track:5exwTxfCoV8RwqGinCaXJs,276760,9,1997-09-23
187,New York,Negramaro,New York E Nocciola,spotify:track:3PpVsYS6OWsN1S4VWN4nXi,210693,31,2017-11-17
188,New York,"Homeboy Sandman, I Am Many",Real New York,spotify:track:2Twulfx4dLGLcQeQ3vUoyH,142836,11,2016-05-06
189,New York,David Osborne,"New York, New York",spotify:track:1PRdHg5nuwPlRpuxB0kmiU,260706,14,2015-07-21
190,New York,Gil Ventura,"New York, New York",spotify:track:0unzL4tANMrIhSpDGn2Cyz,180866,11,2009-06-05
