song_state,song_artist,song_name
New York,Bobby Short,The Sidewalks of New York
New York,Dark One Lite,Englishman In New York
New York,Olson,Paris (Fernweh I)
New York,蔡依林,爱上了一条街(Remix)
New York,Columbia River Entertainment Group,Arthur's Theme (Best That You Can Do)
New York,Freddy Gardner,Arthur's Theme (Best That You Can Do)
New York,Project 24,Arthur's Theme (Best That You Can Do)
New York,"Jok'Air, Naar",Mardi à Casablanca
New York,Lenachka,Edge Of New York
New York,Elton John,Mona Lisas and Mad Hatters
New York,Bee Gees,Stayin' Alive
New York,Erick Sermon,Home (Intro)
New York,DJ Honda,Straight Talk from NY
New York,Funkadelic,Take Your Dead Ass Home
New York,"Hank Williams, Jr.",If Heaven Ain't a Lot Like Dixie
New York,Jackie Wilson,No Pity (In the Naked City)
New York,Aerosmith,Rats in the Cellar
New York,George Gershwin,There's a Boat Dat's Leavin' Soon For New York
New York,Taylor Swift,Come Back...Be Here
New York,Stevie Wonder,Living for the City
New York,Rosemary Clooney,Take Me Back to Manhattan
New York,Woody Guthrie,New York Town
New York,Logic,Thank You
New York,Vengaboys,We Like to Party! [Airplay]
New York,Ernest Tubb,The Texas Troubadour
New York,Wu-Tang Clan,Uzi (Pinky Ring)/It Ain't Nothin'
New York,Ella Fitzgerald,There's a Boat Dat's Leavin' Soon for New York
New York,Louis Armstrong,There's a Boat Dat's Leavin' Soon for New York
New York,Neil Young,Just Like Tom Thumb's Blues
New York,Lou Reed,Rock and Roll
New York,Lou Reed,Rock 'N' Roll
New York,De La Soul,Cali to New York
New York,Jim Croce,New York's Not My Home
New York,Susannah McCorkle,Do You Miss New York?
New York,"Big Daddy Kane, Harley, Ghostface Killah, Styliztik Jones, Capadonna",Done It Again
New York,Arlo Guthrie,Alice's Restaurant
New York,DMX,Pac Man (Skit)
New York,Lou Reed,Rock & Roll
New York,Lou Reed,Rock & Roll [Live]
New York,Wu-Tang Clan,Uzi (Pinky Ring)
New York,Hank Snow,If I Ever Get Back to Georgia
New York,Jorge Ben Jor,W/ Brasil (Chama O Síndico)
New York,Bobby Bare,New York City Snow
New York,Eminem,Can I Bitch
New York,David Bowie,Don't Look Down
New York,Elton John,Wouldn't Have You Any Other Way (NYC)
New York,Kenny Chesney,American Kids
New York,The Edge,A Freak Like Me Needs Company
New York,Fess Up,Lost in New York
New York,Vince Staples,Ramona Park Is Yankee Stadium
New York,Fall Out Boy,Twin Skeleton's (Hotel In NYC)
New York,Jennifer Lopez,On the Floor
New York,Ameritz Karaoke Band,American Boy
New York,"VAX, Ellise ",What Are We Waiting For
New York,SUPER JUNIOR DONGHAE & EUNHYUK,"Oppa,Oppa"
New York,"Cire LaD, I'M LOIC",N.Y.C
New York,Paul Simon,Darling Lorraine [2018]
New York,John Mayer,Who Says
New York,Nickelback,Kiss It Goodbye
New York,Ja Rule,Never Had Time
New York,Game,Money
New York,Julia Fordham,Manhattan Skyline
